TA101 0,042 	A entspricht A 42⋅10-3 A. 
TB505 Die Polarisation des Sendesignals in der Hauptstrahlrichtung dieser Richtantenne   ist 	A vertikal. 
TB601 Welches ist die Einheit der Wellenlänge? 	A m 
TB602 Welcher Wellenlänge λ entspricht die Fre-quenz 1,84 MHz? 	A 163 m 
TB603 Welcher Wellenlänge λ entspricht die Fre-quenz 28,48 MHz? 	A 10,5 m 
TB604 Eine Wellenlänge von 2,06 m entspricht einer Frequenz von 	A 145,631 MHz 
TB605 Eine Wellenlänge von 80,0 m entspricht einer Frequenz von 	A 3,75 MHz 
TB606 Welche Bezeichnung ist für eine Schwin-gung von 145 000 000 Perioden pro Sekunde richtig? 	A 145 MHz 
TB607 Die Periodendauer von 50 µs entspricht einer Frequenz von 	A 20 kHz 
TB608 Den Frequenzbereich zwischen 30 und 300 MHz bezeichnet man als 	A VHF (very high frequency) 
TB609 Das 70-cm-Band befindet sich im 	A UHF-Bereich. 
TB610 Welche Frequenz hat die in diesem Oszil-logramm dargestellte Spannung?  	A 83,3 kHz 
TB611 Welche Frequenz hat das in diesem Schirm-bild dargestellte Signal?  	A 8,33 MHz 
TB612 Eine sinusförmige Wechselspannung hat einen Spitzenwert von 12 V. Wie groß ist der Effektivwert der Wechselspannung? 	A 8,5 V 
TB613 Ein sinusförmiges Signal hat einen Effek-tivwert von 12 V. Wie groß ist der Spitzen-Spitzen-Wert? 	A 33,9 V 
TB701 Welche Signalform sollte der Träger einer hochfrequenten Schwingung haben? 	A sinusförmig 
TB702 Ein periodische Schwingung, die wie das folgende Signal aussieht, besteht  	A aus der Grundwelle mit ganzzahligen Vielfa-chen dieser Frequenz (Oberwellen). 
TB801 Was ist der Unterschied zwischen AM und SSB? 	A AM hat einen Träger und zwei Seitenbänder, SS
TB802 Was ist der Unterschied zwischen LSB und USB? 	A LS
TB803 Welche Aussage über modulierte Signale ist richtig? 	A Bei FM ändert sich die Amplitude des Sende-signals bei Modulation nicht. 
TB804 Was ist der Unterschied zwischen FSK und AFSK? 	A Bei FSK wird der Träger direkt und bei AFSK mit Hilfe des Audiosignals moduliert. 
TB805 Wie groß ist die HF-Bandbreite, die bei der Übertragung eines SSB-Signals entsteht? 	A Sie entspricht genau der Bandbreite des NF-Signals. 
TB806 Ein Träger von 3,65 MHz wird mit der NF-Frequenz von 2 kHz in SSB (LSB) moduliert. Welche Frequenz/Frequenzen treten im mo-dulierten HF-Signal hauptsächlich auf? 	A 3,648 MHz 
TB901 Die Maßeinheit der elektrischen Leistung ist 	A Watt 
TB902 Welcher der nachfolgenden Zusammenhän-ge ist richtig? 	A IRU ⋅=  
TB903 Welche Spannung lässt einen Strom von 2 	A durch einen Widerstand von 50 Ohm flie-ßen? A 100 Volt 
TB904 Welcher Widerstand ist erforderlich um einen Strom von 3 	A bei einer Spannung von 90 Volt fließen zu lassen? A 30 Ω 
TB905 Eine Stromversorgung nimmt bei 230 V einen Strom von 0,63 	A auf. Welche elektri-sche Arbeit (Energie) wird bei einer Be-triebsdauer von 7 Stunden verbraucht? A 1,01 kWh 
TB906 Eine Glühlampe hat einen Nennwert von 12 V und 48 W. Bei einer 12-V-Versorgung beträgt die Stromentnahme 	A 4 A. 
TB907 Der Effektivwert der Spannung an einer künstlichen 50-Ω-Antenne wird mit 100 V gemessen. Die Leistung an der Last beträgt 	A 200 W. 
TB908 Ein mit einer künstlichen 50-Ω-Antenne in Serie geschaltetes Amperemeter zeigt 2 	A an. Die Leistung in der Last beträgt A 200 W. 
TB909 Ein Mobil-Transceiver (Sender-Empfänger) hat bei Sendebetrieb eine Leistungsauf-nahme von 100 Watt aus dem 12-V-Bordnetz des Kraftfahrzeuges. Wie groß ist die Stromaufnahme? 	A 8,33 A 
TB910 Ein 100-Ω-Widerstand, an dem 10 V anlie-gen, muss mindestens eine Belastbarkeit haben von 	A 1 W. 
TB911 Welche Belastbarkeit muss ein Vorwider-stand haben, an dem bei einem Strom von 50 m	A eine Spannung von 50 V abfallen soll? A 2,5 W 
TC101 Die Farbringe gelb, violett und orange auf einem Widerstand mit 4 Farbringen bedeu-ten einen Widerstandswert von 	A 47 kΩ 
TC102 Die Farbringe gelb, violett und rot auf einem Widerstand mit 4 Farbringen bedeuten einen Widerstandswert von 	A 4,7 kΩ 
TC103 Die Farbringe rot, violett und orange auf einem Widerstand mit 4 Farbringen bedeu-ten einen Widerstandswert von 	A 27 kΩ 
TC104 Die Farbringe rot, violett und rot auf einem Widerstand mit 4 Farbringen bedeuten einen Widerstandswert von 	A 2,7 kΩ 
TC105 Welches Bauteil hat folgendes Schaltzeichen?  	A NTC 
TC106 Welches der folgenden Bauteile ist ein NTC?	A   C  
TC107 Welches der folgenden Schaltsymbole stellt einen PTC-Widerstand dar? 	A  C  
TC108 Ein Widerstand hat eine Toleranz von 10 %. Bei einem nominalen Widerstandswert von 5,6 kΩ liegt der tatsächliche Wert zwischen 	A 5040 und 6160 Ω. 
TC109 Welche Bauart von Widerstand folgender Auswahl ist am besten für eine künstliche Antenne (Dummy Load) geeignet? 	A Ein Metalloxidwiderstand 
TC110 Welchen Wert hat ein SMD-Widerstand mit der Kennzeichnung 221? 	A 220 Ω 
TC111 Welchen Wert hat ein SMD-Widerstand mit der Kennzeichnung 223? 	A 22 kΩ 
TC201 Welche Aussage zur Kapazität eines Plat-tenkondensators ist richtig? 	A Je größer der Plattenabstand ist, desto kleiner ist die Kapazität. 
TC202 Ein Bauelement, bei dem sich Platten auf einer isolierten Achse befinden, die zwi-schen fest stehende Platten hineingedreht werden können, nennt man 	A Drehkondensator. 
TC203 Welche Kapazität hat neben-stehend abgebildeter Konden-sator? 	A 330 µF 
TC204 Welche Kapazität hat neben-stehend abgebildeter Konden-sator? 	A 470 pF 
TC205 Welche Kapazität hat neben-stehend abgebildeter Konden-sator? 	A 8,2 pF 
TC206 Drei Kondensatoren mit den Kapazitäten C1 = 0,1 µF, C2 = 150 nF und C3 = 50000 pF wer-den parallel geschaltet. Wie groß ist die Gesamtkapazität? 	A 0,3 µF 
TC207 Bei welchem der folgenden Bauformen von Kondensatoren muss beim Einbau auf die Polarität geachtet werden? 	A Elektrolytkondensator 
TC208 Mit zunehmender Frequenz 	A sinkt der Wechselstromwiderstand von Kon-densatoren. 
TC301 Wie ändert sich die Induktivität einer Spule von 12 µH, wenn die Windungszahl bei glei-cher Wickellänge verdoppelt wird?  	A Die Induktivität steigt auf 48 µH. 
TC302 Wie ändert sich die Induktivität einer Spule von 12 µH, wenn die Wicklung auf dem Wi-ckelkörper bei gleicher Windungszahl auf die doppelte Länge auseinander gezogen wird?   	A Die Induktivität sinkt auf 6 µH. 
TC303 Wie kann man die Induktivität einer Spule vergrößern? 	A Durch Stauchen der Spule (Verkürzen der Spulenlänge). 
TC304 Das folgende Bild zeigt einen Kern, um den ein Kabel für den Bau einer Netzdrossel gewickelt ist. Der Kern sollte aus 	A Ferrit bestehen. 
TC305 Schaltet man zwei Glühlampen gleichzeitig an eine Spannungsquelle, wobei eine Glüh-lampe zum Helligkeitsausgleich über einen Widerstand und die andere über eine Spule mit vielen Windungen und Eisenkern ange-schlossen ist,   so 	A leuchtet H1 zuerst. 
TC306 Mit zunehmender Frequenz 	A steigt der Wechselstromwiderstand einer Spule.
TC401 Ein Trafo liegt an 230 Volt und gibt 11,5 Volt ab. Seine Primärwicklung hat 600 Windun-gen. Wie groß ist seine Sekundärwindungs-zahl? 	A 30 Windungen 
TC402 Ein Trafo liegt an 45 Volt und gibt 180 Volt ab. Seine Primärwicklung hat 150 Windun-gen. Wie groß ist seine Sekundärwindungs-zahl? 	A 600 Windungen 
TC403 Die Primärspule eines Übertragers hat die fünffache Anzahl von Windungen der Se-kundärspule. Wie hoch ist die erwartete Sekundärspannung, wenn die Primärspule an eine 230-V-Stromversorgung ange-schlossen wird? 	A 46 Volt 
TC501 P-dotiertes Halbleitermaterial ist solches, das mit einem zusätzlichen Stoff versehen wurde, der 	A weniger als vier Valenzelektronen enthält. 
TC502 N-leitendes Halbleitermaterial ist gekenn-zeichnet durch 	A Überschuss an freien Elektronen. 
TC503 Ein in Durchlassrichtung betriebener PN-Übergang ermöglicht 	A den Stromfluss von P nach N. 
TC504 Eine in Sperrrichtung betriebene Diode hat 	A einen hohen Widerstand. 
TC505 Die Auswahlantworten enthalten Silizium-Dioden mit unterschiedlichen Arbeitspunk-ten. Bei welcher Antwort befindet sich die Diode in leitendem Zustand? 	A 0,7 V  1,3 V  
TC506 Die Auswahlantworten enthalten Silizium-Dioden mit unterschiedlichen Arbeitspunk-ten. Bei welcher Antwort befindet sich die Diode in leitendem Zustand? 	A -2 V  -2,6 V  
TC507 Wie verhält sich die Kapazität einer Kapazi-tätsdiode (Varicap)? 	A Sie nimmt mit abnehmender Sperrspannung zu.
TC508 Wozu dient folgende Schaltung?  Sie dient 	A zur Spannungsstabilisierung. 
TC509 Wozu dient die folgende Schaltung?  Sie dient  	A als Leuchtanzeige. 
TC601 Was versteht man unter Stromverstärkung beim Transistor? 	A Mit einem geringen Strom (Basisstrom) wird ein großer Strom (Kollektorstrom) gesteuert. 
TC602 Das Verhältnis von Kollektorstrom zum Basisstrom eines Transistors liegt übli-cherweise im Bereich von 	A 10 zu 1  bis  900 zu 1. 
TC603 Bei diesem Bauelement handelt es sich um einen  	A NPN-Transistor. 
TC604 Bei diesem Bauelement handelt es sich um einen  	A PNP-Transistor. 
TC605 Welche Kollektorspannungen haben NPN- und PNP-Transistoren? 	A NPN-Transistoren benötigen positive, PNP-Transistoren negative Kollektorspannungen. 
TC606 Bei einem bipolaren Transistor in leitendem Zustand befindet sich die Emitter-Basis-Diode 	A in Durchlassrichtung. 
TC607 Welche Transistortypen sind bipolare Tran-sistoren? 	A NPN- und PNP-Transistoren 
TC608 Wie lauten die Bezeichnungen der An-schlüsse eines bipolaren Transistors? 	A Emitter, Basis, Kollektor 
TC609 Ein bipolarer Transistor ist 	A stromgesteuert. 
TC610 Wenn die Basisspannung eines NPN-Transistors gleich der Emitterspannung ist, 	A fließt kein Kollektorstrom. 
TC611 Wie erfolgt die Steuerung des Stroms im Feldeffekttransistor (FET)? 	A Die Gatespannung steuert den Widerstand des Kanals zwischen Source und Drain. 
TC612 Wie bezeichnet man die An-schlüsse des nebenstehen-den Transistors?  	A 1 ... Drain, 2 … Source,  3 … Gate. 
TD101 Wie groß ist der Ersatzwiderstand der Ge-samtschaltung?   Gegeben: R1 = 500 Ω,  R2 = 1000 Ω und R3 = 1 kΩ 	A 1 kΩ 
TD102 Wie groß ist der Ersatzwiderstand der Ge-samtschaltung?  Gegeben: R1 = 1 kΩ,  R2 = 2000 Ω und R3 = 2 kΩ 	A 2 kΩ 
TD103 Wie groß ist der Ersatzwiderstand der Ge-samtschaltung?   Gegeben:  R1 = 500 Ω,  R2 = 500 Ω und R3 = 1 kΩ 	A 500 Ω 
TD104 Wie groß ist der Ersatzwiderstand der Ge-samtschaltung?   Gegeben:  R1 = 500 Ω,  R2 = 1,5 kΩ und R3 = 2 kΩ 	A 1 kΩ 
TD105 Welche Gesamtkapazität hat die folgende Schaltung?   Gegeben: C1 = 0,01 µF;  C2 = 5 nF,  C3 = 5000 pF 	A 5 nF 
TD106 Welche Gesamtkapazität hat die folgende Schaltung?   Gegeben: C1 = 0,02 µF; C2 = 10 nF; C3 = 10000 pF 	A 10 nF 
TD107 Welche Gesamtkapazität hat die folgende Schaltung?   Gegeben: C1 = 0,01 µF; C2 = 10 nF; C3 = 5000 pF 	A 10 nF 
TD108 Die Gesamtspannung U an folgendem Spannungsteiler beträgt 12,2 V.  Die Widerstände haben die Werte R1 = 10 kΩ und R2 = 2,2 kΩ.  Wie groß ist die Teilspan-nung U2?   	A 2,20 V 
TD109 Zwei Widerstände mit R1 = 20 Ω und  R2 = 30 Ω sind parallel geschaltet.  Wie groß ist der Ersatzwiderstand? 	A 12 Ω 
TD110 Zwei Widerstände mit R1 = 100 Ω und R2 = 150 Ω sind parallel geschaltet.  Wie groß ist der Ersatzwiderstand? 	A 60 Ω 
TD201 Der Impedanzfrequenz-gang in der Abbildung zeigt die Kennlinie 	A eines Serienschwingkreises. 
TD202 Der im folgenden Bild dargestellte Impedanzfre-quenzgang ist typisch für 	A einen Parallelschwingkreis. 
TD203 Welcher Schwingkreis passt zu dem neben der jeweiligen Schaltung dargestellten Ver-lauf des Scheinwiderstandes? 	A  
TD204 Wie ändert sich die Resonanzfrequenz eines Schwingkreises, wenn 1. die Spule weniger Windungen erhält, 2. die Länge der Spule durch Zusammen-schieben der Drahtwicklung verringert wird, 3. ein Ferritkern in das Innere der Spule gebracht wird? 	A Die Resonanzfrequenz wird bei 1. größer und bei 2. und 3. kleiner. 
TD205 Wie verhält sich ein Parallelschwingkreis bei der Resonanzfrequenz? 	A Wie ein hochohmiger Widerstand. 
TD206 Was stellt die folgende Schaltung dar?   	A Hochpass 
TD207 Was stellt die folgende Schaltung dar?  	A Sperrkreis 
TD208 Was stellt die folgende Schaltung dar?  	A Tiefpass 
TD209 Was stellt die folgende Schaltung dar?  	A Saugkreis 
TD210 Welche der nachfolgenden Eigenschaften trifft auf einen Hochpass zu? 	A Frequenzen oberhalb der Grenzfrequenz wer-den durchgelassen. 
TD301 Welche Eigenschaften sollten Strom- und Spannungsquellen aufweisen? 	A Spannungsquellen sollten einen möglichst niedrigen Innenwiderstand und Stromquellen einen möglichst hohen Innenwiderstand haben. 
TD302 Die Leerlaufspannung einer Gleichspan-nungsquelle beträgt 13,5 V. Wenn die Span-nungsquelle einen Strom von 1 	A abgibt, sinkt die Klemmenspannung auf 12,4 V. Wie groß ist der Innenwiderstand der Span-nungsquelle? A 1,1 Ω 
TD303 Die Leerlaufspannung einer Gleich-spannungsquelle beträgt 13,5 V. Wenn die Spannungsquelle einen Strom von 2 	A ab-gibt, sinkt die Klemmenspannung auf 13 V. Wie groß ist der Innenwiderstand der Span-nungsquelle? A 0,25 Ω 
TD304 Berechnen Sie die Leerlaufausgangsspan-nung dieser Schaltung für ein Transformati-onsverhältnis von 5:1.  	A Zirka 65 Volt 
TD305 Berechnen Sie die Leerlaufausgangsspan-nung dieser Schaltung für ein Transformati-onsverhältnis von 8:1.  	A Zirka 40 Volt 
TD306 Welches ist der Hauptnachteil eines Schalt-netzteils gegenüber einem konventionellen Netzteil? 	A Ein Schaltnetzteil erzeugt Oberwellen seiner Taktfrequenz, die beim Empfang zu Störungen führen können. 
TD401 In welcher der folgenden Zeilen werden nur Verstärker-Bauelemente genannt? 	A Transistor, MOSFET, Operationsverstärker, Röhre 
TD402 Was versteht man in der Elektronik unter Verstärkung? Man spricht von Verstärkung, wenn 	A das Ausgangssignal gegenüber dem Eingangs-signal in der Leistung größer ist. 
TD403 Was ist ein Operationsverstärker? 	A Operationsverstärker sind Gleichstrom gekop-pelte Verstärker mit sehr hohem Verstärkungs-faktor und großer Linearität. 
TD404 Ein IC (integrated circuit) ist 	A eine komplexe Schaltung auf einem Halbleiter-kristallplättchen. 
TD405 Worauf beruht die Verstärkerwirkung von Elektronenröhren? 	A Das von der Gitterspannung hervorgerufene elektrische Feld steuert den Anodenstrom. 
TD501 Durch Modulation 	A werden Informationen auf einen oder mehrere Träger übertragen. 
TD502 Welche Aussage zum Frequenzmodulator ist richtig? Durch das Informationssignal 	A wird die Frequenz des Trägers beeinflusst. Die Amplitude des Trägers bleibt dabei konstant. 
TD503 Zur Aufbereitung des SSB-Signals müssen  	A der Träger und ein Seitenband unterdrückt oder ausgefiltert werden. 
TD504 Wie kann ein SSB-Signal erzeugt werden? 	A Im Balancemodulator wird ein Zweiseitenband-Signal erzeugt. Das Seitenbandfilter selektiert ein Seitenband heraus. 
TD601 Was verstehen Sie unter einem „Oszillator“?	A Es ist ein Schwingungserzeuger. 
TD602 Was ist ein LC-Oszillator? Es ist ein Schwingungserzeuger, wobei die Frequenz 	A von einer Spule und einem Kondensator (LC-Schwingkreis) bestimmt wird. 
TD603 Was ist ein Quarz-Oszillator? Es ist ein Schwingungserzeuger, wobei die Frequenz 	A durch einen hochstabilen Quarz bestimmt wird. 
TD604 Wie verhält sich die Frequenz eines LC-Oszillators bei Temperaturanstieg, wenn die Kapazität des Schwingkreiskondensators mit dem Temperaturanstieg geringer wird? 	A Die Frequenz wird erhöht. 
TD605 Im VFO eines Senders steigt die Induktivität der Oszillatorspule mit der Temperatur. Der Kondensator bleibt sehr stabil. Welche Aus-wirkungen hat dies bei steigender Tempera-tur? 	A Die VFO-Frequenz wandert nach unten. 
TD606 Der Vorteil von Quarzoszillatoren gegenüber LC-Oszillatoren liegt darin, dass sie 	A eine bessere Frequenzstabilität aufweisen. 
TE101 Wie unterscheidet sich SSB (J3E) von AM (A3E) in Bezug auf die Bandbreite? 	A Die Sendeart J3E beansprucht weniger als die halbe Bandbreite der Sendeart A3E. 
TE102 Welches der nachfolgenden Modulations-verfahren hat die geringste Störanfälligkeit bei Funkanlagen in Kraftfahrzeugen? 	A FM 
TE103 Das folgende Oszillogramm zeigt ein AM-Signal.   Der Modulationsgrad beträgt hier zirka 	A 50 %. 
TE104 Das folgende Oszillogramm zeigt ein AM-Signal.   Der Modulationsgrad beträgt hier zirka 	A 45 %. 
TE105 Das folgende Oszillogramm   zeigt 	A ein typisches Zweiton-SSB-Testsignal. 
TE106 Das folgende Oszillogramm zeigt ein typi-sches Zweiton-SSB-Testsignal.   Bestimmen Sie den Modulationsgrad! 	A Man kann keinen Modulationsgrad bestimmen, da es keinen Träger gibt.  
TE201 Wodurch wird bei Frequenzmodulation die Lautstärke-Information übertragen? 	A Durch die Größe der Trägerfrequenzauslen-kung. 
TE202 FM hat gegenüber SSB den Vorteil der 	A geringeren Beeinflussung durch Störquellen. 
TE203 Ein zu großer Hub eines FM-Senders führt dazu,  	A dass die HF-Bandbreite zu groß wird. 
TE204 Größerer Frequenzhub führt bei einem FM-Sender zu  	A einer größeren HF-Bandbreite. 
TE301 Welche HF-Bandbreite beansprucht ein 1200-Baud-Packet-Radio-AFSK-Signal? 	A 12 kHz  
TE302 Welche HF-Bandbreite beansprucht ein 9600-Baud-FM-Packet-Radio-Signal? 	A 20 kHz  
TE303 Welche NF-Zwischenträgerfrequenzen wer-den in der Regel in Packet Radio bei 1200 Baud benutzt? 	A 1200 / 2200 Hz 
TE304 Was versteht man bei Packet Radio unter einem TNC (Terminal Network Controller)? Ein TNC  	A besteht aus einem Modem und dem Controller für die digitale Aufbereitung der Daten. 
TE305 Was bedeutet im Prinzip „Packet Radio“? Die Daten werden 	A paketweise (stoßweise) gesendet.  
TE306 Was versteht man unter 1k2-Packet-Radio? 	A Die Übertragung erfolgt mit 1200 Baud. 
TE307 Welches ist eine gängige Übertragungsrate in Packet Radio? 	A 9600 Baud 
TE308 Eine Packet-Radio-Mailbox ist 	A ein Rechnersystem bei dem Texte und Daten über Funk eingespeichert und abgerufen wer-den können. 
TE309 Um RTTY-Betrieb durchzuführen benötigt man außer einem Transceiver beispielswei-se 	A einen PC mit Soundkarte und entsprechender Software. 
TE310 Welcher Unterschied zwischen den Be-triebsarten ATV und SSTV ist richtig? 	A SSTV überträgt Standbilder, ATV bewegte Bilder. 
TE311 Welches der folgenden digitalen Übertra-gungsverfahren hat die geringste Bandbrei-te? 	A PSK31 
TE312 Wie heißt die Übertragungsart mit einem Übertragungskanal, bei der durch Umschal-tung abwechselnd in beide Richtungen ge-sendet werden kann? 	A Halbduplex 
TF101 Eine hohe erste ZF vereinfacht die Filterung zur Vermeidung von 	A Spiegelfrequenzstörungen. 
TF102 Eine hohe erste Zwischenfrequenz 	A ermöglicht bei großem Abstand zur Empfangs-frequenz eine hohe Spiegelfrequenzunterdrü-ckung. 
TF103 Welche Aussage ist für einen Doppelsuper richtig? 	A Mit einer niedrigen zweiten ZF erreicht man leicht eine gute Trennschärfe. 
TF104 Ein Empfänger hat eine ZF von 10,7 MHz und ist auf 28,5 MHz abgestimmt. Der Oszil-lator des Empfängers schwingt oberhalb der Empfangsfrequenz. Welche Frequenz hat die Spielfrequenz? 	A 49,9 MHz 
TF105 Wodurch wird beim Überlagerungsempfän-ger die Spiegelfrequenzdämpfung be-stimmt? Sie wird vor allem bestimmt durch 	A die Höhe der ersten ZF. 
TF106 Einem Mischer werden die Frequenzen 136 MHz und 145 MHz zugeführt. Welche Frequenzen werden beim Mischvorgang erzeugt? 	A 9 MHz und 281 MHz 
TF107 Einem Mischer werden die Frequenzen 28 MHz und 38,7 MHz zugeführt. Welche Frequenzen werden beim Mischvorgang erzeugt? 	A 10,7 MHz und 66,7 MHz 
TF108 Eine schmale Empfängerbandbreite führt im allgemeinen zu einer 	A hohen Trennschärfe. 
TF109 Die Frequenzdifferenz zwischen dem HF-Nutzsignal und dem Spiegelsignal ent-spricht 	A dem zweifachen der ersten ZF. 
TF110 Durch welchen Vorgang setzt ein Konverter einen Frequenzbereich für einen vorhande-nen Empfänger um? 	A Durch Mischung. 
TF201 Um Schwankungen des NF-Ausgangs-signals durch Schwankungen des HF-Ein-gangssignals zu verringern, wird ein Emp-fänger mit 	A einer automatischen Verstärkungsregelung ausgestattet. 
TF202 Bei Empfang eines sehr starken Signals verringert die AGC (automatic gain control) 	A die Verstärkung der HF- und ZF-Stufen. 
TF203 Was bewirkt die AGC (automatic gain con-trol) bei einem starken Eingangssignal? 	A Sie reduziert die Verstärkung der HF-und ZF-Stufen. 
TF204 Ein Doppelsuper hat eine erste ZF von 10,7 MHz und eine zweite ZF von 460 kHz. Die Empfangsfrequenz soll 28 MHz sein.   Welche Frequenzen sind für den VFO und den CO erforderlich, wenn die Oszillatoren oberhalb der Mischer-Eingangssignale schwingen sollen? 	A Der VFO muss bei 38,70 MHz und der CO bei 11,16 MHz schwingen. 
TF205 Ein Doppelsuper hat eine erste ZF von 9 MHz und eine zweite ZF von 460 kHz. Die Empfangsfrequenz soll 21,1 MHz sein.   Welche Frequenzen sind für den VFO und den CO erforderlich, wenn die Oszillatoren oberhalb der Mischer-Eingangssignale schwingen sollen? 	A Der VFO muss bei 30,1 MHz und der CO bei 9,46 MHz schwingen. 
TF301 In der folgenden Schaltung   können bei einer Empfangsfrequenz von 28,3 MHz und einer Oszillatorfrequenz von 39 MHz Spiegelfrequenzstörungen bei 	A 49,7 MHz auftreten. 
TF302 Der Begrenzerverstärker eines FM-Empfängers ist ein Verstärker, 	A der sein Ausgangssignal ab einem bestimmten Eingangspegel begrenzt. 
TF303 Welcher der folgenden als Bandpass ein-setzbaren Bauteile verfügt am ehesten über die geringste Bandbreite?  	A Ein Quarzkristall 
TF401 Die Empfindlichkeit eines Empfängers be-zieht sich auf die 	A Fähigkeit des Empfängers, schwache Signale zu empfangen. 
TF402 Welchen Vorteil bietet ein Überlagerungs-empfänger gegenüber einem Geradeaus-Empfänger? 	A Bessere Trennschärfe 
TF403 Um wie viel S-Stufen müsste die S-Meter-Anzeige Ihres Empfängers steigen, wenn Ihr Partner die Sendeleistung von 10 Watt auf 40 Watt erhöht? 	A Um eine S-Stufe 
TF404 Ein Funkamateur kommt laut S-Meter mit S7 an. Dann schaltet er seine Endstufe ein und bittet um einen erneuten Rapport. Das S-Meter zeigt S9+8dB. Um welchen Faktor müsste der Funkamateur seine Leistung erhöht haben? 	A 100-fach 
TF405 Ein Funkamateur hat eine Endstufe, welche die Leistung verzehnfacht (von 10 auf 100 Watt). Ohne seine Endstufe zeigt Ihr S-Meter genau S8. Auf welchen Wert müsste die Anzeige Ihres S-Meters ansteigen, wenn er die Endstufe dazuschaltet? 	A S9+4d
TF406 Wie groß ist der Unterschied von S4 nach S7 in dB? 	A 18 d
TF407 Welche Baugruppe könnte in einem Emp-fänger gegebenenfalls dazu verwendet wer-den, um einen schmalen Frequenzbereich zu unterdrücken, in dem Störungen emp-fangen werden? 	A Notchfilter 
